user_id,precision_at_10,recall_at_10,ground_truth_size,live_recs_count,error
user_0446,0.1,0.14285714285714285,7,47,
user_0016,0.0,0.0,7,44,
user_0153,0.1,0.14285714285714285,7,42,
user_0295,0.3,0.42857142857142855,7,41,
user_0041,0.0,0.0,7,40,
user_0411,0.0,0.0,7,40,
user_0104,0.2,0.2857142857142857,7,41,
user_0387,0.0,0.0,0,0,
user_0368,0.0,0.0,7,39,
user_0407,0.3,0.42857142857142855,7,42,
user_0057,0.2,0.2857142857142857,7,38,
user_0112,0.2,0.2857142857142857,7,41,
user_0391,0.0,0.0,7,41,
user_0450,0.1,0.14285714285714285,7,42,
user_0145,0.1,0.14285714285714285,7,42,
user_0283,0.7,1.0,7,50,
user_0329,0.7,1.0,7,50,
user_0094,0.2,0.2857142857142857,7,43,
user_0352,0.1,0.14285714285714285,7,42,
user_0217,0.3,0.42857142857142855,7,50,
user_0493,0.7,1.0,7,50,
user_0169,0.6,0.8571428571428571,7,50,
user_0186,0.2,0.2857142857142857,7,41,
user_0305,0.4,0.5714285714285714,7,50,
user_0240,0.7,1.0,7,50,
user_0485,0.1,0.14285714285714285,7,39,
user_0190,0.7,1.0,7,50,
user_0313,0.7,1.0,7,50,
user_0256,0.0,0.0,7,45,
user_0082,0.7,1.0,7,50,
user_0128,0.3,0.42857142857142855,7,50,
user_0344,0.0,0.0,7,50,
user_0201,0.2,0.2857142857142857,7,50,
user_0276,0.2,0.2857142857142857,7,50,
user_0299,0.5,0.7142857142857143,7,50,
user_0333,0.4,0.5714285714285714,7,50,
user_0221,0.7,1.0,7,50,
user_0364,0.7,1.0,7,50,
user_0108,0.7,1.0,7,50,
user_0237,0.1,0.14285714285714285,7,50,
user_0372,0.0,0.0,0,0,
user_0260,0.0,0.0,0,0,
user_0325,0.6,0.8571428571428571,7,50,
user_0149,0.7,1.0,7,50,
user_0098,0.0,0.0,0,0,
user_0132,0.7,1.0,7,50,
user_0427,0.1,0.14285714285714285,7,50,
user_0077,0.6,0.8571428571428571,7,50,
user_0309,0.0,0.0,0,0,
user_0165,0.7,1.0,7,50,
user_0020,0.7,1.0,7,50,
user_0470,0.4,0.5714285714285714,7,50,
user_0489,0.1,0.14285714285714285,7,50,
user_0173,0.7,1.0,7,50,
user_0466,0.2,0.2857142857142857,7,50,
user_0036,0.4,0.5714285714285714,7,50,
user_0348,0.0,0.0,0,0,
user_0124,0.7,1.0,7,50,
user_0061,0.7,1.0,7,50,
user_0431,0.7,1.0,7,50,
user_0125,0.2,0.2857142857142857,7,50,
user_0060,0.0,0.0,0,0,
user_0430,0.3,0.42857142857142855,7,50,
user_0349,0.7,1.0,7,50,
user_0488,0.4,0.5714285714285714,7,50,
user_0172,0.2,0.2857142857142857,7,50,
user_0467,0.0,0.0,7,50,
user_0037,0.0,0.0,0,0,
user_0164,0.5,0.7142857142857143,7,50,
user_0021,0.2,0.2857142857142857,7,50,
user_0471,0.7,1.0,7,50,
user_0308,0.6,0.8571428571428571,7,50,
user_0099,0.7,1.0,7,50,
user_0133,0.3,0.42857142857142855,7,50,
user_0426,0.4,0.5714285714285714,7,50,
user_0076,0.4,0.5714285714285714,7,50,
user_0148,0.4,0.5714285714285714,7,50,
user_0261,0.0,0.0,7,50,
user_0324,0.7,1.0,7,50,
user_0236,0.2,0.2857142857142857,7,50,
user_0373,0.7,1.0,7,50,
user_0109,0.6,0.8571428571428571,7,50,
user_0220,0.7,1.0,7,50,
user_0365,0.5,0.7142857142857143,7,50,
user_0277,0.6,0.8571428571428571,7,50,
user_0298,0.7,1.0,7,50,
user_0332,0.2,0.2857142857142857,7,50,
user_0345,0.6,0.8571428571428571,7,50,
user_0200,0.2,0.2857142857142857,7,50,
user_0083,0.0,0.0,7,50,
user_0129,0.2,0.2857142857142857,7,50,
user_0312,0.7,1.0,7,50,
user_0257,0.7,1.0,7,50,
user_0484,0.5,0.7142857142857143,7,50,
user_0191,0.7,1.0,7,50,
user_0304,0.7,1.0,7,50,
user_0241,0.1,0.14285714285714285,7,50,
user_0492,0.0,0.0,0,0,
user_0168,0.7,1.0,7,50,
user_0187,0.7,1.0,7,50,
user_0353,0.3,0.42857142857142855,7,50,
user_0216,0.3,0.42857142857142855,7,50,
user_0095,0.5,0.7142857142857143,7,50,
user_0282,0.5,0.7142857142857143,7,50,
user_0328,0.1,0.14285714285714285,7,50,
user_0001,0.7,1.0,7,50,
user_0451,0.3,0.42857142857142855,7,50,
user_0144,0.1,0.14285714285714285,7,50,
user_0390,0.5,0.7142857142857143,7,50,
user_0406,0.7,1.0,7,50,
user_0056,0.0,0.0,7,0,
user_0113,0.7,1.0,7,50,
user_0386,0.7,1.0,7,50,
user_0369,0.3,0.42857142857142855,7,50,
user_0040,0.7,1.0,7,50,
user_0410,0.1,0.14285714285714285,7,50,
user_0105,0.3,0.42857142857142855,7,50,
user_0294,0.7,1.0,7,50,
user_0447,0.7,1.0,7,50,
user_0017,0.2,0.2857142857142857,7,50,
user_0152,0.1,0.14285714285714285,7,50,
user_0270,0.2,0.2857142857142857,7,50,
user_0335,0.4,0.5714285714285714,7,50,
user_0159,0.5,0.7142857142857143,7,50,
user_0227,0.7,1.0,7,50,
user_0362,0.5,0.7142857142857143,7,50,
user_0231,0.7,1.0,7,50,
user_0374,0.7,1.0,7,50,
user_0118,0.7,1.0,7,50,
user_0266,0.1,0.14285714285714285,7,50,
user_0323,0.7,1.0,7,50,
user_0289,0.6,0.8571428571428571,7,50,
user_0358,0.7,1.0,7,50,
user_0134,0.2,0.2857142857142857,7,50,
user_0421,0.7,1.0,7,50,
user_0071,0.5,0.7142857142857143,7,50,
